FIPS Code,County Name,State
1005,"Barbour County, Alabama",ALABAMA
1003,"Baldwin County, Alabama",ALABAMA
1071,"Jackson County, Alabama",ALABAMA
1073,"Jefferson County, Alabama",ALABAMA
1121,"Talladega County, Alabama",ALABAMA
1001,"Autauga County, Alabama",ALABAMA
1091,"Marengo County, Alabama",ALABAMA
1041,"Crenshaw County, Alabama",ALABAMA
1097,"Mobile County, Alabama",ALABAMA
1113,"Russell County, Alabama",ALABAMA
1049,"DeKalb County, Alabama",ALABAMA
1115,"St. Clair County, Alabama",ALABAMA
1087,"Macon County, Alabama",ALABAMA
1095,"Marshall County, Alabama",ALABAMA
1023,"Choctaw County, Alabama",ALABAMA
1085,"Lowndes County, Alabama",ALABAMA
1107,"Pickens County, Alabama",ALABAMA
1063,"Greene County, Alabama",ALABAMA
1065,"Hale County, Alabama",ALABAMA
1055,"Etowah County, Alabama",ALABAMA
1009,"Blount County, Alabama",ALABAMA
1047,"Dallas County, Alabama",ALABAMA
1131,"Wilcox County, Alabama",ALABAMA
1089,"Madison County, Alabama",ALABAMA
1051,"Elmore County, Alabama",ALABAMA
1069,"Houston County, Alabama",ALABAMA
1129,"Washington County, Alabama",ALABAMA
1119,"Sumter County, Alabama",ALABAMA
1109,"Pike County, Alabama",ALABAMA
1025,"Clarke County, Alabama",ALABAMA
1101,"Montgomery County, Alabama",ALABAMA
1099,"Monroe County, Alabama",ALABAMA
1033,"Colbert County, Alabama",ALABAMA
1035,"Conecuh County, Alabama",ALABAMA
1043,"Cullman County, Alabama",ALABAMA
1117,"Shelby County, Alabama",ALABAMA
1015,"Calhoun County, Alabama",ALABAMA
1075,"Lamar County, Alabama",ALABAMA
1123,"Tallapoosa County, Alabama",ALABAMA
1013,"Butler County, Alabama",ALABAMA
1029,"Cleburne County, Alabama",ALABAMA
1021,"Chilton County, Alabama",ALABAMA
1045,"Dale County, Alabama",ALABAMA
1081,"Lee County, Alabama",ALABAMA
1077,"Lauderdale County, Alabama",ALABAMA
1039,"Covington County, Alabama",ALABAMA
1103,"Morgan County, Alabama",ALABAMA
1093,"Marion County, Alabama",ALABAMA
1037,"Coosa County, Alabama",ALABAMA
1105,"Perry County, Alabama",ALABAMA
1061,"Geneva County, Alabama",ALABAMA
1083,"Limestone County, Alabama",ALABAMA
1127,"Walker County, Alabama",ALABAMA
1125,"Tuscaloosa County, Alabama",ALABAMA
1017,"Chambers County, Alabama",ALABAMA
1059,"Franklin County, Alabama",ALABAMA
1079,"Lawrence County, Alabama",ALABAMA
1007,"Bibb County, Alabama",ALABAMA
1111,"Randolph County, Alabama",ALABAMA
1019,"Cherokee County, Alabama",ALABAMA
1031,"Coffee County, Alabama",ALABAMA
1067,"Henry County, Alabama",ALABAMA
1011,"Bullock County, Alabama",ALABAMA
1057,"Fayette County, Alabama",ALABAMA
1027,"Clay County, Alabama",ALABAMA
1133,"Winston County, Alabama",ALABAMA
1053,"Escambia County, Alabama",ALABAMA
4025,"Yavapai County, Arizona",ARIZONA
4009,"Graham County, Arizona",ARIZONA
4001,"Apache County, Arizona",ARIZONA
4005,"Coconino County, Arizona",ARIZONA
4013,"Maricopa County, Arizona",ARIZONA
4007,"Gila County, Arizona",ARIZONA
4012,"La Paz County, Arizona",ARIZONA
4021,"Pinal County, Arizona",ARIZONA
4027,"Yuma County, Arizona",ARIZONA
4015,"Mohave County, Arizona",ARIZONA
4023,"Santa Cruz County, Arizona",ARIZONA
4017,"Navajo County, Arizona",ARIZONA
4003,"Cochise County, Arizona",ARIZONA
4011,"Greenlee County, Arizona",ARIZONA
4019,"Pima County, Arizona",ARIZONA
5119,"Pulaski County, Arkansas",ARKANSAS
5075,"Lawrence County, Arkansas",ARKANSAS
5093,"Mississippi County, Arkansas",ARKANSAS
5001,"Arkansas County, Arkansas",ARKANSAS
5081,"Little River County, Arkansas",ARKANSAS
5121,"Randolph County, Arkansas",ARKANSAS
5067,"Jackson County, Arkansas",ARKANSAS
5103,"Ouachita County, Arkansas",ARKANSAS
5107,"Phillips County, Arkansas",ARKANSAS
5003,"Ashley County, Arkansas",ARKANSAS
5085,"Lonoke County, Arkansas",ARKANSAS
5007,"Benton County, Arkansas",ARKANSAS
5039,"Dallas County, Arkansas",ARKANSAS
